Difference: 39.094938, Indices: [0, 2, 0, 5, 1, 1]
Difference: 39.434941, Indices: [0, 2, 0, 5, 0, 1]
Difference: 39.752432, Indices: [0, 2, 0, 1, 2, 2]
Difference: 39.765274, Indices: [0, 2, 0, 1, 7, 2]
Difference: 39.766153, Indices: [0, 2, 0, 1, 3, 2]
Difference: 39.766153, Indices: [0, 2, 0, 1, 4, 2]
Difference: 39.766153, Indices: [0, 2, 0, 1, 5, 2]
Difference: 39.766153, Indices: [0, 2, 0, 1, 6, 2]
Difference: 40.599604, Indices: [0, 2, 0, 5, 7, 1]
Difference: 40.599823, Indices: [0, 2, 0, 5, 3, 1]
Difference: 40.599823, Indices: [0, 2, 0, 5, 4, 1]
Difference: 40.599823, Indices: [0, 2, 0, 5, 5, 1]
Difference: 40.599823, Indices: [0, 2, 0, 5, 6, 1]
Difference: 40.613572, Indices: [0, 2, 0, 5, 2, 1]
Difference: 40.889476, Indices: [0, 2, 0, 1, 0, 2]
Difference: 41.218887, Indices: [0, 2, 0, 1, 1, 2]
Difference: 42.012351, Indices: [0, 0, 0, 4, 2, 2]
Difference: 42.800835, Indices: [0, 1, 0, 1, 1, 2]
Difference: 43.180074, Indices: [0, 1, 0, 1, 0, 2]
Difference: 44.205291, Indices: [0, 1, 0, 1, 3, 2]
Difference: 44.205291, Indices: [0, 1, 0, 1, 4, 2]
Difference: 44.205291, Indices: [0, 1, 0, 1, 5, 2]
Difference: 44.205291, Indices: [0, 1, 0, 1, 6, 2]
Difference: 44.218528, Indices: [0, 1, 0, 1, 7, 2]
Difference: 44.225674, Indices: [0, 1, 0, 1, 2, 2]
Difference: 44.620097, Indices: [0, 0, 0, 4, 7, 2]
Difference: 44.631643, Indices: [0, 0, 0, 4, 3, 2]
Difference: 44.631643, Indices: [0, 0, 0, 4, 4, 2]
Difference: 44.631643, Indices: [0, 0, 0, 4, 5, 2]
Difference: 44.631643, Indices: [0, 0, 0, 4, 6, 2]
Difference: 44.799623, Indices: [0, 2, 0, 0, 1, 0]
Difference: 44.799623, Indices: [0, 2, 0, 0, 1, 1]
Difference: 44.799623, Indices: [0, 2, 0, 0, 1, 2]
Difference: 45.170418, Indices: [0, 2, 0, 0, 0, 0]
Difference: 45.170418, Indices: [0, 2, 0, 0, 0, 1]
Difference: 45.170418, Indices: [0, 2, 0, 0, 0, 2]
Difference: 45.403603, Indices: [0, 0, 0, 4, 0, 2]
Difference: 45.740695, Indices: [0, 0, 0, 4, 1, 2]
Difference: 45.764227, Indices: [0, 1, 0, 6, 1, 0]
Difference: 46.139511, Indices: [0, 1, 0, 6, 0, 0]
Difference: 46.438924, Indices: [0, 2, 0, 0, 3, 0]
Difference: 46.438924, Indices: [0, 2, 0, 0, 3, 1]
Difference: 46.438924, Indices: [0, 2, 0, 0, 3, 2]
Difference: 46.438924, Indices: [0, 2, 0, 0, 4, 0]
Difference: 46.438924, Indices: [0, 2, 0, 0, 4, 1]
Difference: 46.438924, Indices: [0, 2, 0, 0, 4, 2]
Difference: 46.438924, Indices: [0, 2, 0, 0, 5, 0]
Difference: 46.438924, Indices: [0, 2, 0, 0, 5, 1]
Difference: 46.438924, Indices: [0, 2, 0, 0, 5, 2]
Difference: 46.438924, Indices: [0, 2, 0, 0, 6, 0]
Difference: 46.438924, Indices: [0, 2, 0, 0, 6, 1]
Difference: 46.438924, Indices: [0, 2, 0, 0, 6, 2]
Difference: 46.440209, Indices: [0, 2, 0, 0, 7, 0]
Difference: 46.440209, Indices: [0, 2, 0, 0, 7, 1]
Difference: 46.440209, Indices: [0, 2, 0, 0, 7, 2]
Difference: 46.454369, Indices: [0, 2, 0, 0, 2, 0]
Difference: 46.454369, Indices: [0, 2, 0, 0, 2, 1]
Difference: 46.454369, Indices: [0, 2, 0, 0, 2, 2]
Difference: 47.155396, Indices: [0, 1, 0, 6, 3, 0]
Difference: 47.155396, Indices: [0, 1, 0, 6, 4, 0]
Difference: 47.155396, Indices: [0, 1, 0, 6, 5, 0]
Difference: 47.155396, Indices: [0, 1, 0, 6, 6, 0]
Difference: 47.167972, Indices: [0, 1, 0, 6, 7, 0]
Difference: 47.175323, Indices: [0, 1, 0, 6, 2, 0]
Difference: 49.656141, Indices: [0, 1, 0, 2, 1, 0]
Difference: 49.656141, Indices: [0, 1, 0, 2, 1, 1]
Difference: 49.656141, Indices: [0, 1, 0, 2, 1, 2]
Difference: 50.034629, Indices: [0, 1, 0, 2, 0, 0]
Difference: 50.034629, Indices: [0, 1, 0, 2, 0, 1]
Difference: 50.034629, Indices: [0, 1, 0, 2, 0, 2]
Difference: 51.061937, Indices: [0, 1, 0, 2, 3, 0]
Difference: 51.061937, Indices: [0, 1, 0, 2, 3, 1]
Difference: 51.061937, Indices: [0, 1, 0, 2, 3, 2]
Difference: 51.061937, Indices: [0, 1, 0, 2, 4, 0]
Difference: 51.061937, Indices: [0, 1, 0, 2, 4, 1]
Difference: 51.061937, Indices: [0, 1, 0, 2, 4, 2]
Difference: 51.061937, Indices: [0, 1, 0, 2, 5, 0]
Difference: 51.061937, Indices: [0, 1, 0, 2, 5, 1]
Difference: 51.061937, Indices: [0, 1, 0, 2, 5, 2]
Difference: 51.061937, Indices: [0, 1, 0, 2, 6, 0]
Difference: 51.061937, Indices: [0, 1, 0, 2, 6, 1]
Difference: 51.061937, Indices: [0, 1, 0, 2, 6, 2]
Difference: 51.075031, Indices: [0, 1, 0, 2, 7, 0]
Difference: 51.075031, Indices: [0, 1, 0, 2, 7, 1]
Difference: 51.075031, Indices: [0, 1, 0, 2, 7, 2]
Difference: 51.082161, Indices: [0, 1, 0, 2, 2, 0]
Difference: 51.082161, Indices: [0, 1, 0, 2, 2, 1]
Difference: 51.082161, Indices: [0, 1, 0, 2, 2, 2]
Difference: 54.589467, Indices: [0, 2, 0, 1, 2, 1]
Difference: 54.602115, Indices: [0, 2, 0, 1, 7, 1]
Difference: 54.603106, Indices: [0, 2, 0, 1, 3, 1]
Difference: 54.603106, Indices: [0, 2, 0, 1, 4, 1]
Difference: 54.603106, Indices: [0, 2, 0, 1, 5, 1]
Difference: 54.603106, Indices: [0, 2, 0, 1, 6, 1]
Difference: 55.717615, Indices: [0, 2, 0, 1, 0, 1]
Difference: 56.044199, Indices: [0, 2, 0, 1, 1, 1]
Difference: 59.011190, Indices: [0, 1, 0, 6, 1, 1]
Difference: 59.389331, Indices: [0, 1, 0, 6, 0, 1]
Difference: 60.411267, Indices: [0, 1, 0, 6, 3, 1]
Difference: 60.411267, Indices: [0, 1, 0, 6, 4, 1]
Difference: 60.411267, Indices: [0, 1, 0, 6, 5, 1]
Difference: 60.411267, Indices: [0, 1, 0, 6, 6, 1]
Difference: 60.423802, Indices: [0, 1, 0, 6, 7, 1]
Difference: 60.431301, Indices: [0, 1, 0, 6, 2, 1]
Difference: 60.471969, Indices: [0, 2, 0, 1, 2, 0]
Difference: 60.484516, Indices: [0, 2, 0, 1, 7, 0]
Difference: 60.485588, Indices: [0, 2, 0, 1, 3, 0]
Difference: 60.485588, Indices: [0, 2, 0, 1, 4, 0]
Difference: 60.485588, Indices: [0, 2, 0, 1, 5, 0]
Difference: 60.485588, Indices: [0, 2, 0, 1, 6, 0]
Difference: 60.961421, Indices: [0, 2, 0, 4, 1, 0]
Difference: 61.307453, Indices: [0, 2, 0, 4, 0, 0]
Difference: 61.597245, Indices: [0, 2, 0, 1, 0, 0]
Difference: 61.922830, Indices: [0, 2, 0, 1, 1, 0]
Difference: 62.492316, Indices: [0, 2, 0, 4, 7, 0]
Difference: 62.492359, Indices: [0, 2, 0, 4, 3, 0]
Difference: 62.492359, Indices: [0, 2, 0, 4, 4, 0]
Difference: 62.492359, Indices: [0, 2, 0, 4, 5, 0]
Difference: 62.492359, Indices: [0, 2, 0, 4, 6, 0]
Difference: 62.506433, Indices: [0, 2, 0, 4, 2, 0]
Difference: 69.228910, Indices: [0, 1, 0, 5, 1, 0]
Difference: 69.608924, Indices: [0, 1, 0, 5, 0, 0]
Difference: 70.291565, Indices: [0, 2, 0, 5, 1, 2]
Difference: 70.636872, Indices: [0, 2, 0, 5, 0, 2]
Difference: 70.638940, Indices: [0, 1, 0, 5, 3, 0]
Difference: 70.638940, Indices: [0, 1, 0, 5, 4, 0]
Difference: 70.638940, Indices: [0, 1, 0, 5, 5, 0]
Difference: 70.638940, Indices: [0, 1, 0, 5, 6, 0]
Difference: 70.651598, Indices: [0, 1, 0, 5, 7, 0]
Difference: 70.659081, Indices: [0, 1, 0, 5, 2, 0]
Difference: 71.818344, Indices: [0, 2, 0, 5, 7, 2]
Difference: 71.818903, Indices: [0, 2, 0, 5, 3, 2]
Difference: 71.818903, Indices: [0, 2, 0, 5, 4, 2]
Difference: 71.818903, Indices: [0, 2, 0, 5, 5, 2]
Difference: 71.818903, Indices: [0, 2, 0, 5, 6, 2]
Difference: 71.832742, Indices: [0, 2, 0, 5, 2, 2]
Difference: 75.951205, Indices: [0, 2, 0, 4, 1, 1]
Difference: 75.989993, Indices: [0, 0, 0, 4, 2, 1]
Difference: 76.299971, Indices: [0, 2, 0, 4, 0, 1]
Difference: 76.397279, Indices: [0, 0, 0, 5, 2, 2]
Difference: 77.492678, Indices: [0, 2, 0, 4, 7, 1]
Difference: 77.492875, Indices: [0, 2, 0, 4, 3, 1]
Difference: 77.492875, Indices: [0, 2, 0, 4, 4, 1]
Difference: 77.492875, Indices: [0, 2, 0, 4, 5, 1]
Difference: 77.492875, Indices: [0, 2, 0, 4, 6, 1]
Difference: 77.507018, Indices: [0, 2, 0, 4, 2, 1]
Difference: 78.106071, Indices: [0, 0, 0, 4, 7, 1]
Difference: 78.116424, Indices: [0, 0, 0, 4, 3, 1]
Difference: 78.116424, Indices: [0, 0, 0, 4, 4, 1]
Difference: 78.116424, Indices: [0, 0, 0, 4, 5, 1]
Difference: 78.116424, Indices: [0, 0, 0, 4, 6, 1]
Difference: 78.503986, Indices: [0, 0, 0, 5, 7, 2]
Difference: 78.513179, Indices: [0, 0, 0, 5, 3, 2]
Difference: 78.513179, Indices: [0, 0, 0, 5, 4, 2]
Difference: 78.513179, Indices: [0, 0, 0, 5, 5, 2]
Difference: 78.513179, Indices: [0, 0, 0, 5, 6, 2]
Difference: 78.848731, Indices: [0, 0, 0, 4, 0, 1]
Difference: 79.139908, Indices: [0, 0, 0, 4, 1, 1]
Difference: 79.213688, Indices: [0, 0, 0, 5, 0, 2]
Difference: 79.501125, Indices: [0, 0, 0, 5, 1, 2]
Difference: 82.979890, Indices: [0, 1, 0, 6, 1, 2]
Difference: 83.363080, Indices: [0, 1, 0, 6, 0, 2]
Difference: 84.226476, Indices: [0, 1, 0, 5, 1, 1]
Difference: 84.395939, Indices: [0, 1, 0, 6, 3, 2]
Difference: 84.395939, Indices: [0, 1, 0, 6, 4, 2]
Difference: 84.395939, Indices: [0, 1, 0, 6, 5, 2]
Difference: 84.395939, Indices: [0, 1, 0, 6, 6, 2]
Difference: 84.408407, Indices: [0, 1, 0, 6, 7, 2]
Difference: 84.416145, Indices: [0, 1, 0, 6, 2, 2]
Difference: 84.609737, Indices: [0, 1, 0, 5, 0, 1]
Difference: 85.646647, Indices: [0, 1, 0, 5, 3, 1]
Difference: 85.646647, Indices: [0, 1, 0, 5, 4, 1]
Difference: 85.646647, Indices: [0, 1, 0, 5, 5, 1]
Difference: 85.646647, Indices: [0, 1, 0, 5, 6, 1]
Difference: 85.659262, Indices: [0, 1, 0, 5, 7, 1]
Difference: 85.666912, Indices: [0, 1, 0, 5, 2, 1]
Difference: 86.972868, Indices: [0, 1, 0, 0, 1, 0]
Difference: 86.972868, Indices: [0, 1, 0, 0, 1, 1]
Difference: 86.972868, Indices: [0, 1, 0, 0, 1, 2]
Difference: 87.388879, Indices: [0, 1, 0, 0, 0, 0]
Difference: 87.388879, Indices: [0, 1, 0, 0, 0, 1]
Difference: 87.388879, Indices: [0, 1, 0, 0, 0, 2]
Difference: 87.789747, Indices: [0, 1, 0, 3, 1, 0]
Difference: 87.789747, Indices: [0, 1, 0, 3, 1, 1]
Difference: 87.789747, Indices: [0, 1, 0, 3, 1, 2]
Difference: 88.206841, Indices: [0, 1, 0, 3, 0, 0]
Difference: 88.206841, Indices: [0, 1, 0, 3, 0, 1]
Difference: 88.206841, Indices: [0, 1, 0, 3, 0, 2]
Difference: 88.511283, Indices: [0, 1, 0, 0, 3, 0]
Difference: 88.511283, Indices: [0, 1, 0, 0, 3, 1]
Difference: 88.511283, Indices: [0, 1, 0, 0, 3, 2]
Difference: 88.511283, Indices: [0, 1, 0, 0, 4, 0]
Difference: 88.511283, Indices: [0, 1, 0, 0, 4, 1]
Difference: 88.511283, Indices: [0, 1, 0, 0, 4, 2]
Difference: 88.511283, Indices: [0, 1, 0, 0, 5, 0]
Difference: 88.511283, Indices: [0, 1, 0, 0, 5, 1]
Difference: 88.511283, Indices: [0, 1, 0, 0, 5, 2]
Difference: 88.511283, Indices: [0, 1, 0, 0, 6, 0]
Difference: 88.511283, Indices: [0, 1, 0, 0, 6, 1]
Difference: 88.511283, Indices: [0, 1, 0, 0, 6, 2]
Difference: 88.526437, Indices: [0, 1, 0, 0, 7, 0]
Difference: 88.526437, Indices: [0, 1, 0, 0, 7, 1]
Difference: 88.526437, Indices: [0, 1, 0, 0, 7, 2]
Difference: 88.533708, Indices: [0, 1, 0, 0, 2, 0]
Difference: 88.533708, Indices: [0, 1, 0, 0, 2, 1]
Difference: 88.533708, Indices: [0, 1, 0, 0, 2, 2]
Difference: 89.328966, Indices: [0, 1, 0, 3, 3, 0]
Difference: 89.328966, Indices: [0, 1, 0, 3, 3, 1]
Difference: 89.328966, Indices: [0, 1, 0, 3, 3, 2]
Difference: 89.328966, Indices: [0, 1, 0, 3, 4, 0]
Difference: 89.328966, Indices: [0, 1, 0, 3, 4, 1]
Difference: 89.328966, Indices: [0, 1, 0, 3, 4, 2]
Difference: 89.328966, Indices: [0, 1, 0, 3, 5, 0]
Difference: 89.328966, Indices: [0, 1, 0, 3, 5, 1]
Difference: 89.328966, Indices: [0, 1, 0, 3, 5, 2]
Difference: 89.328966, Indices: [0, 1, 0, 3, 6, 0]
Difference: 89.328966, Indices: [0, 1, 0, 3, 6, 1]
Difference: 89.328966, Indices: [0, 1, 0, 3, 6, 2]
Difference: 89.344187, Indices: [0, 1, 0, 3, 7, 0]
Difference: 89.344187, Indices: [0, 1, 0, 3, 7, 1]
Difference: 89.344187, Indices: [0, 1, 0, 3, 7, 2]
Difference: 89.351507, Indices: [0, 1, 0, 3, 2, 0]
Difference: 89.351507, Indices: [0, 1, 0, 3, 2, 1]
Difference: 89.351507, Indices: [0, 1, 0, 3, 2, 2]
Difference: 89.433593, Indices: [0, 0, 0, 4, 2, 0]
Difference: 91.345601, Indices: [0, 0, 0, 4, 7, 0]
Difference: 91.355183, Indices: [0, 0, 0, 4, 3, 0]
Difference: 91.355183, Indices: [0, 0, 0, 4, 4, 0]
Difference: 91.355183, Indices: [0, 0, 0, 4, 5, 0]
Difference: 91.355183, Indices: [0, 0, 0, 4, 6, 0]
Difference: 92.070199, Indices: [0, 0, 0, 4, 0, 0]
Difference: 92.341411, Indices: [0, 0, 0, 4, 1, 0]
Difference: 105.007252, Indices: [0, 0, 0, 5, 2, 1]
Difference: 106.738328, Indices: [0, 0, 0, 5, 7, 1]
Difference: 106.746650, Indices: [0, 0, 0, 5, 3, 1]
Difference: 106.746650, Indices: [0, 0, 0, 5, 4, 1]
Difference: 106.746650, Indices: [0, 0, 0, 5, 5, 1]
Difference: 106.746650, Indices: [0, 0, 0, 5, 6, 1]
Difference: 107.423167, Indices: [0, 0, 0, 5, 0, 1]
Difference: 107.673693, Indices: [0, 0, 0, 5, 1, 1]
Difference: 108.513023, Indices: [0, 1, 0, 4, 1, 0]
Difference: 108.903630, Indices: [0, 1, 0, 4, 0, 0]
Difference: 109.959703, Indices: [0, 1, 0, 4, 3, 0]
Difference: 109.959703, Indices: [0, 1, 0, 4, 4, 0]
Difference: 109.959703, Indices: [0, 1, 0, 4, 5, 0]
Difference: 109.959703, Indices: [0, 1, 0, 4, 6, 0]
Difference: 109.972692, Indices: [0, 1, 0, 4, 7, 0]
Difference: 109.980416, Indices: [0, 1, 0, 4, 2, 0]
Difference: 110.577154, Indices: [0, 0, 0, 6, 2, 2]
Difference: 111.263425, Indices: [0, 2, 0, 4, 1, 2]
Difference: 111.618462, Indices: [0, 2, 0, 4, 0, 2]
Difference: 112.404531, Indices: [0, 0, 0, 6, 7, 2]
Difference: 112.413124, Indices: [0, 0, 0, 6, 3, 2]
Difference: 112.413124, Indices: [0, 0, 0, 6, 4, 2]
Difference: 112.413124, Indices: [0, 0, 0, 6, 5, 2]
Difference: 112.413124, Indices: [0, 0, 0, 6, 6, 2]
Difference: 112.831054, Indices: [0, 2, 0, 4, 7, 2]
Difference: 112.831566, Indices: [0, 2, 0, 4, 3, 2]
Difference: 112.831566, Indices: [0, 2, 0, 4, 4, 2]
Difference: 112.831566, Indices: [0, 2, 0, 4, 5, 2]
Difference: 112.831566, Indices: [0, 2, 0, 4, 6, 2]
Difference: 112.845850, Indices: [0, 2, 0, 4, 2, 2]
Difference: 113.097911, Indices: [0, 0, 0, 6, 0, 2]
Difference: 113.359261, Indices: [0, 0, 0, 6, 1, 2]
Difference: 114.776215, Indices: [0, 1, 0, 5, 1, 2]
Difference: 115.165595, Indices: [0, 1, 0, 5, 0, 2]
Difference: 116.216830, Indices: [0, 1, 0, 5, 3, 2]
Difference: 116.216830, Indices: [0, 1, 0, 5, 4, 2]
Difference: 116.216830, Indices: [0, 1, 0, 5, 5, 2]
Difference: 116.216830, Indices: [0, 1, 0, 5, 6, 2]
Difference: 116.229364, Indices: [0, 1, 0, 5, 7, 2]
Difference: 116.237298, Indices: [0, 1, 0, 5, 2, 2]
Difference: 117.723877, Indices: [0, 0, 0, 5, 2, 0]
Difference: 119.286343, Indices: [0, 0, 0, 5, 7, 0]
Difference: 119.294035, Indices: [0, 0, 0, 5, 3, 0]
Difference: 119.294035, Indices: [0, 0, 0, 5, 4, 0]
Difference: 119.294035, Indices: [0, 0, 0, 5, 5, 0]
Difference: 119.294035, Indices: [0, 0, 0, 5, 6, 0]
Difference: 119.958869, Indices: [0, 0, 0, 5, 0, 0]
Difference: 120.191896, Indices: [0, 0, 0, 5, 1, 0]
Difference: 122.959431, Indices: [0, 0, 0, 0, 2, 0]
Difference: 122.959431, Indices: [0, 0, 0, 0, 2, 1]
Difference: 122.959431, Indices: [0, 0, 0, 0, 2, 2]
Difference: 123.452738, Indices: [0, 1, 0, 4, 1, 1]
